start,end,low,high,open,close,volume,VWAP
2024-12-12T00:00:00.000000-05:00,2024-12-13T00:00:00.000000-05:00,245.68,248.74,246.89,247.96,32777532,247.766621
2024-12-13T00:00:00.000000-05:00,2024-12-14T00:00:00.000000-05:00,246.24,249.2902,247.815,248.13,33155290,247.742107
2024-12-16T00:00:00.000000-05:00,2024-12-17T00:00:00.000000-05:00,247.65,251.38,247.99,251.04,51694753,250.492044
2024-12-17T00:00:00.000000-05:00,2024-12-18T00:00:00.000000-05:00,249.78,253.83,250.08,253.48,51356360,253.011709
2024-12-18T00:00:00.000000-05:00,2024-12-19T00:00:00.000000-05:00,247.74,254.28,252.16,248.05,56774101,250.487086
2024-12-19T00:00:00.000000-05:00,2024-12-20T00:00:00.000000-05:00,247.0949,252.0,247.5,249.79,60882264,249.867499
2024-12-20T00:00:00.000000-05:00,2024-12-21T00:00:00.000000-05:00,245.69,255.0,248.04,254.49,147495267,252.836452
2024-12-23T00:00:00.000000-05:00,2024-12-24T00:00:00.000000-05:00,253.45,255.65,254.77,255.27,40858774,254.713964
2024-12-24T00:00:00.000000-05:00,2024-12-25T00:00:00.000000-05:00,255.29,258.21,255.49,258.2,23234705,257.454883
2024-12-26T00:00:00.000000-05:00,2024-12-27T00:00:00.000000-05:00,257.63,260.1,258.19,259.02,27262983,258.938747
2024-12-27T00:00:00.000000-05:00,2024-12-28T00:00:00.000000-05:00,253.06,258.7,257.83,255.59,42355321,255.254341
2024-12-30T00:00:00.000000-05:00,2024-12-31T00:00:00.000000-05:00,250.75,253.5,252.23,252.2,35557542,252.228394
2024-12-31T00:00:00.000000-05:00,2025-01-01T00:00:00.000000-05:00,249.43,253.28,252.44,250.42,39480718,250.720429
2025-01-02T00:00:00.000000-05:00,2025-01-03T00:00:00.000000-05:00,241.8201,249.1,248.93,243.85,55740731,244.334502
2025-01-03T00:00:00.000000-05:00,2025-01-04T00:00:00.000000-05:00,241.89,244.18,243.36,243.36,40244114,243.069132
2025-01-06T00:00:00.000000-05:00,2025-01-07T00:00:00.000000-05:00,243.2,247.33,244.31,245.0,45045571,245.239844
2025-01-07T00:00:00.000000-05:00,2025-01-08T00:00:00.000000-05:00,241.35,245.55,242.98,242.21,40855960,243.011289
2025-01-08T00:00:00.000000-05:00,2025-01-09T00:00:00.000000-05:00,240.05,243.7123,241.92,242.7,37628940,242.273331
2025-01-10T00:00:00.000000-05:00,2025-01-11T00:00:00.000000-05:00,233.0,240.16,240.01,236.85,61710856,236.562101
2025-01-13T00:00:00.000000-05:00,2025-01-14T00:00:00.000000-05:00,229.72,234.67,233.53,234.4,49630725,232.601233
2025-01-14T00:00:00.000000-05:00,2025-01-15T00:00:00.000000-05:00,232.472,236.12,234.75,233.28,39435294,233.949316
2025-01-15T00:00:00.000000-05:00,2025-01-16T00:00:00.000000-05:00,234.43,238.96,234.635,237.87,39831969,237.597666
2025-01-16T00:00:00.000000-05:00,2025-01-17T00:00:00.000000-05:00,228.03,238.01,237.35,228.26,71759052,230.595119
2025-01-17T00:00:00.000000-05:00,2025-01-18T00:00:00.000000-05:00,228.48,232.29,232.115,229.98,68488301,230.564539
2025-01-21T00:00:00.000000-05:00,2025-01-22T00:00:00.000000-05:00,219.38,224.42,224.0,222.64,98070429,221.550941
2025-01-22T00:00:00.000000-05:00,2025-01-23T00:00:00.000000-05:00,219.79,224.12,219.79,223.83,64126500,222.722473
2025-01-23T00:00:00.000000-05:00,2025-01-24T00:00:00.000000-05:00,222.3,227.03,224.74,223.66,60234760,224.18943
2025-01-24T00:00:00.000000-05:00,2025-01-25T00:00:00.000000-05:00,221.41,225.63,224.78,222.78,54697907,223.09355
2025-01-27T00:00:00.000000-05:00,2025-01-28T00:00:00.000000-05:00,223.98,232.15,224.02,229.1,94863418,229.068474
2025-01-28T00:00:00.000000-05:00,2025-01-29T00:00:00.000000-05:00,230.81,240.19,230.85,238.26,75707569,237.591942
2025-01-29T00:00:00.000000-05:00,2025-01-30T00:00:00.000000-05:00,234.01,239.855,234.12,239.36,45486100,237.534942
2025-01-30T00:00:00.000000-05:00,2025-01-31T00:00:00.000000-05:00,237.21,240.79,238.665,237.59,55658279,238.674625
2025-01-31T00:00:00.000000-05:00,2025-02-01T00:00:00.000000-05:00,233.44,247.19,247.19,236.0,101075128,238.736741
2025-02-03T00:00:00.000000-05:00,2025-02-04T00:00:00.000000-05:00,225.7,231.83,229.99,228.01,73063301,228.155367
2025-02-04T00:00:00.000000-05:00,2025-02-05T00:00:00.000000-05:00,226.65,233.13,227.25,232.8,45067301,231.216776
2025-02-05T00:00:00.000000-05:00,2025-02-06T00:00:00.000000-05:00,228.27,232.67,228.53,232.47,39664989,230.959247
2025-02-06T00:00:00.000000-05:00,2025-02-07T00:00:00.000000-05:00,230.425,233.8,231.285,233.22,29925349,232.380536
2025-02-07T00:00:00.000000-05:00,2025-02-08T00:00:00.000000-05:00,227.26,234.0,232.6,227.63,39707224,229.187749
2025-02-10T00:00:00.000000-05:00,2025-02-11T00:00:00.000000-05:00,227.2,230.585,229.57,227.65,33115645,228.54997
2025-02-11T00:00:00.000000-05:00,2025-02-12T00:00:00.000000-05:00,228.13,235.23,228.2,232.62,53718362,232.73602
2025-02-12T00:00:00.000000-05:00,2025-02-13T00:00:00.000000-05:00,230.68,236.96,231.2,236.87,45243292,235.146843
2025-02-13T00:00:00.000000-05:00,2025-02-14T00:00:00.000000-05:00,235.57,242.3399,236.91,241.53,53614054,240.36709
2025-02-14T00:00:00.000000-05:00,2025-02-15T00:00:00.000000-05:00,240.99,245.55,241.25,244.6,40896227,244.067863
2025-02-18T00:00:00.000000-05:00,2025-02-19T00:00:00.000000-05:00,241.84,245.18,244.15,244.47,48822491,244.071766
2025-02-19T00:00:00.000000-05:00,2025-02-20T00:00:00.000000-05:00,243.1604,246.01,244.66,244.87,32204215,244.698606
2025-02-20T00:00:00.000000-05:00,2025-02-21T00:00:00.000000-05:00,244.29,246.78,244.94,245.83,32316907,245.643959
2025-02-21T00:00:00.000000-05:00,2025-02-22T00:00:00.000000-05:00,245.22,248.69,245.95,245.55,53197431,246.387753
2025-02-24T00:00:00.000000-05:00,2025-02-25T00:00:00.000000-05:00,244.42,248.86,244.925,247.1,51326396,247.304074
2025-02-25T00:00:00.000000-05:00,2025-02-26T00:00:00.000000-05:00,244.91,250.0,248.0,247.04,48013272,247.547272
2025-02-26T00:00:00.000000-05:00,2025-02-27T00:00:00.000000-05:00,239.13,244.98,244.33,240.36,44433564,241.662764
2025-02-27T00:00:00.000000-05:00,2025-02-28T00:00:00.000000-05:00,237.06,242.46,239.41,237.3,41153639,239.443187
2025-02-28T00:00:00.000000-05:00,2025-03-01T00:00:00.000000-05:00,230.2,242.09,236.95,241.84,56833360,239.404791
2025-03-03T00:00:00.000000-05:00,2025-03-04T00:00:00.000000-05:00,236.112,244.0272,241.79,238.03,47183985,239.97713
2025-03-04T00:00:00.000000-05:00,2025-03-05T00:00:00.000000-05:00,234.68,240.07,237.705,235.93,53798062,237.505164
2025-03-05T00:00:00.000000-05:00,2025-03-06T00:00:00.000000-05:00,229.23,236.55,235.42,235.74,47227643,233.780789
2025-03-06T00:00:00.000000-05:00,2025-03-07T00:00:00.000000-05:00,233.1581,237.86,234.435,235.33,45170419,235.299565
2025-03-07T00:00:00.000000-05:00,2025-03-08T00:00:00.000000-05:00,234.76,241.37,235.105,239.07,46273565,238.942153
2025-03-10T00:00:00.000000-04:00,2025-03-11T00:00:00.000000-04:00,224.22,236.16,235.54,227.48,72071197,227.619683
2025-03-11T00:00:00.000000-04:00,2025-03-12T00:00:00.000000-04:00,217.45,225.8399,223.805,220.84,76137410,221.094508
2025-03-12T00:00:00.000000-04:00,2025-03-13T00:00:00.000000-04:00,214.91,221.75,220.14,216.98,62547467,217.595915
2025-03-13T00:00:00.000000-04:00,2025-03-14T00:00:00.000000-04:00,208.42,216.8394,215.95,209.68,61368330,212.022383
2025-03-14T00:00:00.000000-04:00,2025-03-15T00:00:00.000000-04:00,209.58,213.95,211.25,213.49,60107582,212.467841
2025-03-17T00:00:00.000000-04:00,2025-03-18T00:00:00.000000-04:00,209.97,215.22,213.31,214.0,48073426,213.202307
2025-03-18T00:00:00.000000-04:00,2025-03-19T00:00:00.000000-04:00,211.49,215.15,214.16,212.69,42432426,213.109402
2025-03-19T00:00:00.000000-04:00,2025-03-20T00:00:00.000000-04:00,213.75,218.76,214.22,215.24,54385391,215.609995
2025-03-20T00:00:00.000000-04:00,2025-03-21T00:00:00.000000-04:00,212.22,217.4899,213.99,214.1,48862947,214.396801
2025-03-21T00:00:00.000000-04:00,2025-03-22T00:00:00.000000-04:00,211.28,218.84,211.56,218.27,94127768,215.891954
2025-03-24T00:00:00.000000-04:00,2025-03-25T00:00:00.000000-04:00,218.58,221.48,221.0,220.73,44299483,220.082473
2025-03-25T00:00:00.000000-04:00,2025-03-26T00:00:00.000000-04:00,220.08,224.1,220.77,223.75,34493583,223.118682
2025-03-26T00:00:00.000000-04:00,2025-03-27T00:00:00.000000-04:00,220.47,225.02,223.51,221.53,34532656,222.527403
2025-03-27T00:00:00.000000-04:00,2025-03-28T00:00:00.000000-04:00,220.5601,224.99,221.39,223.85,37094774,223.355633
2025-03-28T00:00:00.000000-04:00,2025-03-29T00:00:00.000000-04:00,217.68,223.81,221.67,217.9,39818617,219.363882
2025-03-31T00:00:00.000000-04:00,2025-04-01T00:00:00.000000-04:00,216.23,225.62,217.005,222.13,65299321,220.645824
2025-04-01T00:00:00.000000-04:00,2025-04-02T00:00:00.000000-04:00,218.9,223.68,219.805,223.19,36412740,222.335452
2025-04-02T00:00:00.000000-04:00,2025-04-03T00:00:00.000000-04:00,221.02,225.19,221.315,223.89,35905904,223.733796
2025-04-03T00:00:00.000000-04:00,2025-04-04T00:00:00.000000-04:00,201.25,207.49,205.54,203.19,103419006,204.015541
2025-04-04T00:00:00.000000-04:00,2025-04-05T00:00:00.000000-04:00,187.34,199.88,193.89,188.38,125910913,192.428019
2025-04-07T00:00:00.000000-04:00,2025-04-08T00:00:00.000000-04:00,174.62,194.15,177.2,181.46,160466286,180.475736
2025-04-08T00:00:00.000000-04:00,2025-04-09T00:00:00.000000-04:00,169.2101,190.335,186.7,172.86,120859491,179.155984
2025-04-09T00:00:00.000000-04:00,2025-04-10T00:00:00.000000-04:00,171.89,200.61,171.95,198.85,184395885,188.356118
2025-04-10T00:00:00.000000-04:00,2025-04-11T00:00:00.000000-04:00,183.0,194.7799,189.065,190.42,121879981,189.87566
2025-04-11T00:00:00.000000-04:00,2025-04-12T00:00:00.000000-04:00,186.06,199.54,186.1,198.15,87435915,195.688554
2025-04-14T00:00:00.000000-04:00,2025-04-15T00:00:00.000000-04:00,201.1621,212.94,211.44,202.52,101352911,205.411307
2025-04-15T00:00:00.000000-04:00,2025-04-16T00:00:00.000000-04:00,199.8,203.51,201.855,202.14,51343872,202.182851
2025-04-16T00:00:00.000000-04:00,2025-04-17T00:00:00.000000-04:00,192.37,200.7,198.36,194.27,59732423,195.845851
2025-04-17T00:00:00.000000-04:00,2025-04-18T00:00:00.000000-04:00,194.42,198.8335,197.2,196.98,52164675,196.896279
2025-04-21T00:00:00.000000-04:00,2025-04-22T00:00:00.000000-04:00,189.8112,193.8,193.265,193.16,46742537,191.966371
2025-04-22T00:00:00.000000-04:00,2025-04-23T00:00:00.000000-04:00,195.97,201.59,196.12,199.74,52976371,199.223497
2025-04-23T00:00:00.000000-04:00,2025-04-24T00:00:00.000000-04:00,202.799,208.0,206.0,204.6,52929165,205.344342
2025-04-24T00:00:00.000000-04:00,2025-04-25T00:00:00.000000-04:00,202.94,208.8299,204.89,208.37,47310989,207.134631
2025-04-25T00:00:00.000000-04:00,2025-04-26T00:00:00.000000-04:00,206.2,209.75,206.365,209.28,38222258,208.426054
2025-04-28T00:00:00.000000-04:00,2025-04-29T00:00:00.000000-04:00,207.46,211.5,210.0,210.14,38743074,209.66423
2025-04-29T00:00:00.000000-04:00,2025-04-30T00:00:00.000000-04:00,208.37,212.24,208.693,211.21,36827633,211.013321
2025-04-30T00:00:00.000000-04:00,2025-05-01T00:00:00.000000-04:00,206.6705,213.58,209.3,212.5,52286454,211.319486
2025-05-01T00:00:00.000000-04:00,2025-05-02T00:00:00.000000-04:00,208.9,214.56,209.08,213.32,57365675,212.457269
2025-05-02T00:00:00.000000-04:00,2025-05-03T00:00:00.000000-04:00,202.16,206.99,206.09,205.35,101010621,204.784297
2025-05-05T00:00:00.000000-04:00,2025-05-06T00:00:00.000000-04:00,198.21,204.1,203.1,198.89,69018452,199.72172
2025-05-06T00:00:00.000000-04:00,2025-05-07T00:00:00.000000-04:00,197.02,200.65,198.21,198.51,51216482,198.864065
2025-05-07T00:00:00.000000-04:00,2025-05-08T00:00:00.000000-04:00,193.25,199.44,199.17,196.25,68616943,195.899212
2025-05-08T00:00:00.000000-04:00,2025-05-09T00:00:00.000000-04:00,194.6796,200.05,197.72,197.49,50478872,197.774209
2025-05-09T00:00:00.000000-04:00,2025-05-10T00:00:00.000000-04:00,197.535,200.5399,199.0,198.53,36453923,198.727466
2025-05-12T00:00:00.000000-04:00,2025-05-13T00:00:00.000000-04:00,206.75,211.2679,210.97,210.79,63775814,209.670596
