Symbol,Entry Date,Entry Price,Exit Date,Exit Price,PnL,Strategy
TSLA,2025-05-12 10:27:16.980347,316.88,2025-05-12 10:28:21.914992,315.36,-1.52,Breakout
MSFT,2025-05-12 10:27:17.848903,443.9752,2025-05-12 10:29:24.198870,443.81,-0.17,Breakout
TSLA,2025-05-12 10:28:18.247095,315.35,2025-05-12 10:29:23.409891,315.57,0.22,Breakout
TSLA,2025-05-12 10:28:21.719437,315.36,2025-05-12 10:29:27.611617,315.28,-0.08,Breakout
TSLA,2025-05-12 10:29:23.215285,315.57,2025-05-12 10:30:28.484358,314.95,-0.62,Breakout
MSFT,2025-05-12 10:29:24.021814,443.81,2025-05-12 10:29:28.438196,443.77,-0.04,Breakout
TSLA,2025-05-12 10:29:27.412107,315.28,2025-05-12 10:30:33.730416,314.79,-0.49,Breakout
MSFT,2025-05-12 10:29:28.247547,443.77,2025-05-12 10:46:24.520202,443.75,-0.02,Breakout
TSLA,2025-05-12 10:30:28.259677,314.95,2025-05-12 10:31:34.460669,314.555,-0.39,Breakout
TSLA,2025-05-12 10:30:33.548749,314.79,2025-05-12 10:31:39.270607,314.47,-0.32,Breakout
TSLA,2025-05-12 10:31:34.263465,314.555,2025-05-12 10:32:40.438489,314.71,0.15,Breakout
TSLA,2025-05-12 10:31:39.076946,314.47,2025-05-12 10:32:44.434408,315.01,0.54,Breakout
TSLA,2025-05-12 10:32:40.254024,314.71,2025-05-12 10:33:22.664107,315.06,0.35,Breakout
TSLA,2025-05-12 10:32:44.247316,315.01,2025-05-12 10:33:58.853493,315.7,0.69,Breakout
TSLA,2025-05-12 10:33:22.478720,315.06,2025-05-12 10:34:59.596449,315.3969,0.34,Breakout
TSLA,2025-05-12 10:33:58.678151,315.7,2025-05-12 10:35:02.345202,315.48,-0.22,Breakout
TSLA,2025-05-12 10:34:59.406929,315.3969,2025-05-12 10:36:03.000732,315.42,0.02,Breakout
TSLA,2025-05-12 10:35:02.068168,315.48,2025-05-12 10:36:05.898626,315.47,-0.01,Breakout
TSLA,2025-05-12 10:36:02.805993,315.42,2025-05-12 10:36:41.978291,315.26,-0.16,Breakout
TSLA,2025-05-12 10:36:05.722857,315.47,2025-05-12 10:37:42.820603,315.9076,0.44,Breakout
TSLA,2025-05-12 10:36:41.799679,315.26,2025-05-12 10:37:45.342133,315.895,0.63,Breakout
TSLA,2025-05-12 10:37:42.630524,315.9076,2025-05-12 10:38:46.461882,316.0,0.09,Breakout
TSLA,2025-05-12 10:37:45.168858,315.895,2025-05-12 10:38:49.757859,316.75,0.86,Breakout
