Date,Breakout,MA_Crossover,BuyHold
2023-11-28,100000.0,100000.0,171350.92498465424
2023-11-29,100000.0,100000.0,169827.36208807226
2023-11-30,100000.0,100000.0,168842.55031176494
2023-12-01,100000.0,100000.0,168214.03641643922
2023-12-04,100000.0,100000.0,166090.98430042097
2023-12-05,100000.0,100000.0,168468.6661505454
2023-12-06,100000.0,100000.0,167853.88349665186
2023-12-07,100000.0,100000.0,169573.11366490263
2023-12-08,100000.0,100000.0,170735.01324046418
2023-12-11,100000.0,100000.0,168525.12364825647
2023-12-12,100000.0,100000.0,168576.75888612293
2023-12-13,100000.0,100000.0,170053.0686505594
2023-12-14,100000.0,100000.0,172232.88849563396
2023-12-15,100000.0,100000.0,173447.3587543703
2023-12-18,100000.0,100000.0,172881.19196657639
2023-12-19,100000.0,100000.0,174681.95079249577
2023-12-20,100000.0,100000.0,170937.67514978716
2023-12-21,100000.0,100000.0,173373.89882093144
2023-12-22,100000.0,100000.0,172688.4329135755
2023-12-26,100000.0,100000.0,173703.1451414554
2023-12-27,100000.0,100000.0,175006.2524534159
2023-12-28,100000.0,100000.0,172960.20691035685
2023-12-29,100000.0,100000.0,171472.7747625637
2024-01-02,100000.0,100000.0,168967.9176802127
2024-01-03,100000.0,100000.0,165767.73171415093
2024-01-04,100000.0,100000.0,164651.36485677923
2024-01-05,100000.0,100000.0,164313.45760050238
2024-01-08,100000.0,100000.0,167233.33788872627
2024-01-09,100000.0,100000.0,165732.7603038489
2024-01-10,100000.0,100000.0,166681.56883064573
2024-01-11,100000.0,100000.0,164893.7466489699
2024-01-12,100000.0,100000.0,163166.12833557447
2024-01-16,100000.0,100000.0,163112.9430000294
2024-01-17,100000.0,100000.0,161531.09190548962
2024-01-18,100000.0,100000.0,162638.07649239508
2024-01-19,100000.0,100000.0,164143.2125625742
2024-01-22,100000.0,100000.0,163490.04129275604
2024-01-23,100000.0,100000.0,164248.245716896
2024-01-24,100000.0,100000.0,164211.05202208567
2024-01-25,100000.0,100000.0,157355.32139485894
2024-01-26,100000.0,100000.0,156949.46451045974
2024-01-29,100000.0,100000.0,159733.83583569404
2024-01-30,100000.0,100000.0,158813.80689470976
2024-01-31,100000.0,100000.0,155144.22310913226
2024-02-01,100000.0,100000.0,157076.64057798465
2024-02-02,100000.0,100000.0,157578.7655827188
2024-02-05,100000.0,100000.0,155351.6759944928
2024-02-06,100000.0,100000.0,156883.062550771
2024-02-07,100000.0,100000.0,158793.38197340467
2024-02-08,100000.0,100000.0,159078.34883312712
2024-02-09,100000.0,100000.0,161295.92472601827
2024-02-12,100000.0,100000.0,158595.50445119853
2024-02-13,100000.0,100000.0,155658.71552261396
2024-02-14,100000.0,100000.0,157292.34846138008
2024-02-15,100000.0,100000.0,160114.7712642637
2024-02-16,100000.0,100000.0,159228.27009979245
2024-02-20,100000.0,100000.0,157117.38687019714
2024-02-21,100000.0,100000.0,157512.814009526
2024-02-22,100000.0,100000.0,160096.27935009747
2024-02-23,100000.0,100000.0,157907.49886134884
2024-02-26,100000.0,100000.0,159259.59916980314
2024-02-27,100000.0,100000.0,159722.83249785684
2024-02-28,100000.0,100000.0,160094.32866121535
2024-02-29,100000.0,100000.0,160697.2265183765
2024-03-01,100000.0,100000.0,160888.05594083184
2024-03-04,100000.0,100000.0,155553.13665124576
2024-03-05,100000.0,100000.0,150487.46201276037
2024-03-06,100000.0,100000.0,148970.4991600733
2024-03-07,100000.0,100000.0,150510.4026261974
2024-03-08,100000.0,100000.0,149620.04520965254
2024-03-11,100000.0,100000.0,150588.52651244742
2024-03-12,100000.0,100000.0,152138.80815356638
2024-03-13,100000.0,100000.0,149305.07406897802
2024-03-14,100000.0,100000.0,149225.52739398822
