Date,TSLA
2023-10-04,73481.33169329581
2023-10-05,73169.01187739217
2023-10-06,73304.07025542941
2023-10-09,73062.1003213529
2023-10-10,74173.48763424587
2023-10-11,73996.22619637947
2023-10-12,72837.00302462418
2023-10-13,70656.42287208351
2023-10-16,71444.24623746627
2023-10-17,71705.91808828297
2023-10-18,68281.70005774478
2023-10-19,61931.29015569623
2023-10-20,59646.60626004899
2023-10-23,59671.92809594649
2023-10-24,60921.19018639327
2023-10-25,59767.591227087236
2023-10-26,57893.69809141706
2023-10-27,58327.00287435896
2023-10-30,55530.232288560735
2023-10-31,56509.38191622499
2023-11-01,57865.564149294936
2023-11-02,61481.10414882267
2023-11-03,61889.087095867064
2023-11-06,61694.94443406899
2023-11-07,62513.713847798506
2023-11-08,62494.02051764221
2023-11-09,59081.05949858643
2023-11-10,60395.03437853526
2023-11-13,62944.20652451577
2023-11-14,66798.90864518733
2023-11-15,68326.71951709052
2023-11-16,65724.09159309037
2023-11-17,65923.86276062965
2023-11-20,66289.63835455292
2023-11-21,67865.2807920265
2023-11-22,65898.54092473215
2023-11-24,66247.43100143182
2023-11-27,66424.69243929822
2023-11-28,69418.41779311914
2023-11-29,68692.49511101379
2023-11-30,67550.15316319017
2023-12-01,67198.44668697394
2023-12-04,66284.00984881172
2023-12-05,67167.49634533522
2023-12-06,67350.3819956509
2023-12-07,68270.44733955432
2023-12-08,68608.08469806351
2023-12-11,67454.49003204942
2023-12-12,66686.35999682297
2023-12-13,67327.87226597802
2023-12-14,70636.72954192721
2023-12-15,71326.07337665265
2023-12-18,70926.53533486604
2023-12-19,72372.75219333552
2023-12-20,69536.59065393277
2023-12-21,71607.43855762563
2023-12-22,71055.96091387012
2023-12-26,72201.11496791837
2023-12-27,73560.11360050489
2023-12-28,71236.03445796116
2023-12-29,69913.6189660465
2024-01-02,69896.73774211483
2024-01-03,67091.52654435078
2024-01-04,66945.21544812308
2024-01-05,66821.4183748602
2024-01-08,67654.25690629675
2024-01-09,66109.56481046189
2024-01-10,65822.5711237477
2024-01-11,63931.79676414586
2024-01-12,61588.02429144583
2024-01-16,61875.01797816002
2024-01-17,60648.26561738612
2024-01-18,59615.65591841028
2024-01-19,59702.8784375852
2024-01-22,58749.05064581844
2024-01-23,58844.71377695919
2024-01-24,58476.126076811284
2024-01-25,51385.72437495036
2024-01-26,51560.16941330019
2024-01-29,53721.05194239261
2024-01-30,53906.75399222485
2024-01-31,52696.88285538261
2024-02-01,53138.628250290334
2024-02-02,52871.33218702438
2024-02-05,50943.97898004263
2024-02-06,52080.696715417
2024-02-07,52778.48116210826
2024-02-08,53335.58301831304
2024-02-09,54463.86014172157
2024-02-12,52933.2328703018
2024-02-13,51776.821804771134
2024-02-14,53096.42519046117
2024-02-15,56399.649667377205
2024-02-16,56258.96707689071
2024-02-20,54517.3159197412
2024-02-21,54801.49750023076
2024-02-22,55544.301406267776
2024-02-23,54013.674134848006
2024-02-26,56104.21536869718
2024-02-27,56197.0663936133
2024-02-28,56847.01927473419
2024-02-29,56802.00410868039
2024-03-01,57015.84010063476
2024-03-04,52936.04497652643
2024-03-05,50853.944354643085
2024-03-06,49672.207159922975
2024-03-07,50265.88786350766
2024-03-08,49334.56980141378
2024-03-11,50018.28942368995
2024-03-12,49953.57234089597
2024-03-13,47685.76966918039
2024-03-14,45721.84190811067
2024-03-15,46022.904712531905
2024-03-18,48901.269311763834
2024-03-19,48203.48486507257
2024-03-20,49424.60872010527
2024-03-21,48625.53263653205
2024-03-22,48065.6143808107
2024-03-25,48572.07256522047
2024-03-26,49990.15118827588
2024-03-27,50597.9010095676
2024-03-28,49461.18327419324
2024-04-01,49300.807353550445
2024-04-02,46883.88147938254
2024-04-03,47376.27054608527
2024-04-04,48144.39628801979
2024-04-05,46397.11662512907
2024-04-08,48670.54780258585
2024-04-09,49767.874584355675
2024-04-10,48327.28193833545
2024-04-11,49126.36231520061
2024-04-12,48127.51506408812
2024-04-15,45434.84822139648
2024-04-16,44205.28375439794
2024-04-17,43738.21652359271
2024-04-18,42185.07952250007
2024-04-19,41374.75072073639
2024-04-22,39967.92481587144
2024-04-23,40707.91232239188
2024-04-24,45617.73816500409
2024-04-25,47882.72443720309
2024-04-26,47350.94441689582
2024-04-29,54598.914226466855
