Date,MSFT
2023-09-08,46150.901433116
2023-09-11,46657.59993614186
2023-09-12,45805.73902318087
2023-09-13,46398.040872549216
2023-09-14,46762.527433458556
2023-09-15,45591.737050405005
2023-09-18,45431.586124730835
2023-09-19,45374.97326690323
2023-09-20,44287.02441946626
2023-09-21,44115.83051294203
2023-09-22,43767.90629228098
2023-09-25,43841.077228303286
2023-09-26,43095.53324212913
2023-09-27,43185.27078045332
2023-09-28,43302.63068809021
2023-09-29,43593.94631297725
2023-10-02,44429.23209952918
2023-10-03,43268.10805401632
2023-10-04,44037.13169341431
2023-10-05,44092.35512177178
2023-10-06,45183.07004198825
2023-10-09,45536.51788410112
2023-10-10,45339.082513627145
2023-10-11,45895.48508561223
2023-10-12,45721.51658220132
2023-10-13,45247.96406994
2023-10-16,45925.86074154367
2023-10-17,45845.781016652996
2023-10-18,45576.55561551967
2023-10-19,45743.61533006221
2023-10-20,45101.60941173462
2023-10-23,45467.48114006051
2023-10-24,45634.540854603045
2023-10-25,47034.51890737139
2023-10-26,45270.050031640116
2023-10-27,45535.13271668458
2023-10-30,46570.61994648999
2023-10-31,46681.06680320493
2023-11-01,47780.067155599136
2023-11-02,48090.71545556755
2023-11-03,48709.2417206713
2023-11-06,49224.2213938213
2023-11-07,49776.48124971752
2023-11-08,50145.11478876932
2023-11-09,49798.5799975784
2023-11-10,51038.39433851181
2023-11-13,50625.57608989901
2023-11-14,51121.23161207481
2023-11-15,51141.98355100145
2023-11-16,52041.234237822646
2023-11-17,51166.89099217773
2023-11-20,52216.92887293725
2023-11-21,51612.360833338695
2023-11-22,52273.64828210459
2023-11-24,52215.53944346712
2023-11-27,52378.78888210076
2023-11-28,52944.62337867912
2023-11-29,52411.99027956195
2023-11-30,52420.29275995404
2023-12-01,51811.57774221303
2023-12-04,51068.65918104992
2023-12-05,51536.270390607664
2023-12-06,51021.61889558405
2023-12-07,51319.06761558619
2023-12-08,51772.835675085655
2023-12-11,51367.48454436143
2023-12-12,51793.59187606589
2023-12-13,51792.20244659575
2023-12-14,50624.57450730551
2023-12-15,51288.6322909045
2023-12-18,51554.25199470122
2023-12-19,51638.640655770745
2023-12-20,51273.408235483264
2023-12-21,51677.378460844535
2023-12-22,51821.25686591449
2023-12-26,51832.32541908608
2023-12-27,51750.70709284965
2023-12-28,51918.10350962575
2023-12-29,52023.24410962192
2024-01-02,51307.994800361004
2024-01-03,51270.65068681094
2024-01-04,50902.64793169037
2024-01-05,50876.363847204724
2024-01-08,51836.476659282125
2024-01-09,51988.65328269059
2024-01-10,52954.29824032699
2024-01-11,53211.62824989239
2024-01-12,53742.87618159302
2024-01-16,53991.886662551966
2024-01-17,53881.21817905038
2024-01-18,54489.9331967914
2024-01-19,55153.99098039039
2024-01-22,54855.16561707888
2024-01-23,55185.807210435036
2024-01-24,55692.15196301297
2024-01-25,56011.72926525112
2024-01-26,55881.68548613226
2024-01-29,56682.70009977206
2024-01-30,56526.37223616756
2024-01-31,55003.19526234488
2024-02-01,55860.92928515202
2024-02-02,56890.2152269849
2024-02-05,56119.63593802679
2024-02-06,56097.4988316836
2024-02-07,57281.73173175803
2024-02-08,57290.03847420371
2024-02-09,58180.97389447205
2024-02-12,57449.13241058772
2024-02-13,56212.331341542
2024-02-14,56755.640884900546
2024-02-15,56349.54389479818
2024-02-16,56003.03893798239
2024-02-20,55827.01612474141
2024-02-21,55742.46550563548
2024-02-22,57055.02031517867
2024-02-23,56873.45257021791
2024-02-26,56485.37128063782
2024-02-27,56477.060276138545
2024-02-28,56510.32134234999
2024-02-29,57330.83911321475
2024-03-01,57588.6336866214
2024-03-04,57508.24709387228
2024-03-05,55807.610994749004
2024-03-06,55729.99899888658
2024-03-07,56707.134452999926
2024-03-08,56302.418368260514
2024-03-11,56066.79073557219
2024-03-12,57558.13869318945
2024-03-13,57533.19715558446
2024-03-14,58935.834729792565
2024-03-15,57716.15006796176
2024-03-18,57840.887590361854
2024-03-19,58407.770552123206
2024-03-20,58937.219897209114
2024-03-21,59511.0244339996
2024-03-22,59423.71200416776
2024-03-25,58608.73064091559
2024-03-26,58441.027356281054
2024-03-27,58410.53662490271
2024-03-28,58312.13006957774
2024-04-01,58845.743441020466
2024-04-02,58411.92605437284
2024-04-03,58274.709239063064
2024-04-04,57918.50811033146
2024-04-05,58977.41106255687
2024-04-08,58848.51377585356
2024-04-09,59082.75197907174
2024-04-10,58664.179958113295
2024-04-11,59311.44098851657
2024-04-12,58475.68211401623
2024-04-15,57330.83911321475
2024-04-16,57461.11730528103
2024-04-17,57081.355544307386
2024-04-18,56032.14876399779
2024-04-19,55318.352815010854
2024-04-22,55573.3770535844
2024-04-23,56489.531044941046
2024-04-24,56696.048851613974
2024-04-25,55307.2672136249
2024-04-26,56316.282828586736
2024-04-29,55752.17020165848
